split,startDate,duration,totalEnergyBurned,totalDistance,averageHeartRate,percentInZone,minHR,maxHR,stdHR
Chest/back,2024-04-21T22:33:07Z,3777.2511199712753,267.90000000000083,0.0,99.49356746233494,0.03305785123966942,68.0,146.0,14.969702890297977
Chest/back,2024-05-02T19:29:29Z,3238.621043920517,270.61400000000083,0.0,105.95916487565246,0.05016722408026756,64.24609375,142.0,14.951912992668891
Chest/back,2024-04-18T15:50:01Z,4290.77262198925,379.19265695084965,0.0,108.32440179604009,0.07645631067961164,52.0,151.0,16.212644436889924
Chest/back,2024-01-16T15:02:04Z,4064.949627995491,542.9785957785126,0.0,128.178025313504,0.45918367346938777,58.0,138.13692307692295,27.80413333652383
Pull,2024-03-26T18:38:39Z,4298.563971042633,585.5339999999984,0.0,127.98700875401222,0.37828162291169454,69.0,167.0,17.105728526584898
Abs,2024-04-19T15:43:31Z,1781.0079050064087,116.52298016752682,0.0,92.33983516483518,0.0,59.0,120.0,12.91597875836348
Sarms,2024-02-03T14:03:38Z,4225.75104701519,503.61623602326335,0.0,120.67180618232015,0.31746031746031744,55.0,136.1198156682027,34.115169228995434
Chest/back,2024-04-28T20:08:41Z,3269.5504739284515,255.39300000000233,0.0,103.26576698503956,0.05348460291734198,66.0,144.0,15.580340405147782
Abs,2024-05-01T19:39:38Z,1791.5537639856339,117.23938410034116,0.0,93.41671217913714,0.0,66.0,125.00000000000001,11.713582914114546
Chest/back,2024-04-15T18:46:22Z,4044.632655978203,284.91246854295565,0.0,96.21419032254198,0.005405405405405406,57.0,134.0,13.92613216372488
Chest/back,2024-01-10T17:44:04Z,4346.437834978104,477.92854442792043,0.0,117.72973110148313,0.2488095238095238,75.0,134.5226244343892,27.662785922882513
Chest/back,2024-02-13T14:04:26Z,4540.925686001778,541.3484344690625,0.0,121.99036814740364,0.3087557603686636,60.0,136.37952755905508,29.42829166223729
Chest/back,2024-04-25T16:38:09Z,4178.859516978264,320.2360000000011,0.0,101.96762307592863,0.06524466750313676,69.0,151.0,16.371011480287777
Abs,2024-04-14T16:35:56Z,1293.695111989975,99.49026574155944,0.0,100.32634730538916,0.008130081300813009,60.0,135.0,15.401043533329068
Abs,2024-04-29T19:01:00Z,1376.5388779640198,109.42892840927914,0.0,97.53906294857194,0.023809523809523808,73.0,137.0,15.073658349372382
Abs,2024-04-24T15:52:59Z,975.6012530326843,73.98272554719499,0.0,93.64187192118227,0.011049723756906077,69.0,135.0,14.950348150540117
Sarms,2024-02-11T16:42:52Z,4144.756751894951,412.4929999999929,0.0,113.91730171912191,0.1718555417185554,54.0,133.0,27.82021682562087
Pull,2024-06-10T21:28:12Z,4188.2714730501175,367.8759999999997,0.0,112.15328755195462,0.09506172839506173,64.0,149.0,13.996856554816594
Chest/back,2024-01-05T18:05:13Z,3624.559907913208,502.84139461687215,0.0,127.83952135910651,0.43352601156069365,81.0,136.65292353823085,30.677579630361535
Push,2024-02-17T15:56:25Z,1837.4048008918762,155.29800000000068,0.0,108.20410614524144,0.06140350877192982,63.0,110.79729729729728,19.397676572170024
Abs,2024-03-23T15:12:46Z,2167.276069045067,170.81898559491458,0.0,97.33538707212676,0.0594059405940594,56.0,140.0,19.880133163692136
Abs,2024-03-05T15:07:41Z,1754.2285350561142,177.17030947170946,0.0,113.58375209380239,0.17272727272727273,49.0,152.0,18.352061259981962
Abs,2024-03-18T14:28:04Z,2606.06522500515,200.1130000000008,0.0,100.76638348290025,0.06072874493927125,65.87222290039064,146.0,16.55440831986278
Legs,2024-03-25T15:36:43Z,3634.7431530952454,398.3521744320312,0.0,117.04264999444115,0.2601398601398601,59.0,168.0,19.963856217951356
Push,2024-04-09T15:36:06Z,3826.5214710235596,319.3059999999972,0.0,104.14950368158695,0.056022408963585436,63.0,144.0,17.464763233215
Legs,2024-03-11T15:56:03Z,3571.608887910843,383.75475994177344,0.0,118.01832454555743,0.2658959537572254,61.0,160.0,18.296080496894426
Pull,2024-04-07T19:59:25Z,3925.5122969150543,352.81594875432023,0.0,109.25313605686823,0.118508655126498,69.0,153.0,16.178962125654184
Pull,2024-04-11T15:33:13Z,2973.1026179790497,238.9196153724541,0.0,100.77125012931275,0.04363636363636364,56.0,149.0,18.218849362499594
Abs,2024-03-01T16:03:06Z,1730.4832990169525,147.0444760489695,0.0,107.00962627406567,0.13213213213213212,64.0,151.0,16.458310863755525
Abs,2024-02-26T15:59:48Z,1823.751510977745,143.0243061648932,0.0,103.73022751895991,0.0790273556231003,61.96866989135742,138.0,15.517363805845463
Abs,2024-03-13T15:39:14Z,2120.549267053604,144.65000000000072,0.0,95.62678736742019,0.004975124378109453,69.0,137.0,12.98991445052981
Abs,2024-02-22T14:22:09Z,2123.5612490177155,178.98667857420241,0.0,106.48953974895394,0.10199004975124377,61.0,146.0,16.468165337107223
Legs,2024-03-07T16:24:50Z,3025.5503890514374,323.356999999998,0.0,118.42397723731249,0.2785234899328859,59.917030334472656,158.0,17.377120334357166
Abs,2024-02-18T15:20:37Z,2728.4212639331818,213.25700000000106,0.0,101.96637986839013,0.058935361216730035,65.59241485595705,107.23082706766917,17.63116101651304
Abs,2024-02-14T15:05:20Z,2801.0858050584793,249.4353335527383,0.0,111.37055886728712,0.11743119266055047,60.0,114.1832298136646,25.03219379194818
Legs,2024-03-20T14:54:57Z,3626.8263360261917,479.7819999999946,0.0,126.8015793931365,0.42127659574468085,66.0,162.0,17.57992183355557
Abs,2024-03-09T16:45:42Z,2222.861715912819,194.7346649814704,0.0,107.66674187725626,0.12410501193317422,59.0,153.0,17.466147533930982
Legs,2024-01-03T18:09:40Z,2314.965171098709,307.270000000001,0.0,126.50574273897942,0.3347826086956522,86.0,139.3272596067747,23.753281176048862
Legs,2024-01-23T21:52:08Z,4127.222426056862,558.1919999999926,0.0,128.91694822125046,0.44957472660996356,61.0,137.98107255520503,34.27237888881532
Legs,2024-01-13T17:00:58Z,3372.4336808919907,406.5219999999961,0.0,122.39650157309045,0.3387815750371471,58.03433609008789,127.1204724409449,26.817836200761413
Push,2024-02-29T14:04:19Z,4139.043177008629,415.76406779825624,0.0,113.74678291740076,0.16518424396442186,49.0,150.0,16.674158393072194
Legs,2024-02-28T15:51:36Z,4793.644187092781,515.0635189288446,0.0,117.47868263007936,0.2701271186440678,56.0,160.0,18.41677524228713
Legs,2024-06-15T16:56:07Z,3465.0906039476395,252.6279828936608,0.0,95.05776741849702,0.059420289855072465,56.88837432861328,151.0,17.521552981206863
Abs,2024-01-11T21:48:39Z,2239.717654943466,210.8720000000005,0.0,108.5112052335885,0.10599078341013825,55.0,117.33541341653665,23.098076984117977
Abs,2024-04-02T16:06:47Z,2083.4389399290085,177.6770000000004,0.0,104.50706933824013,0.11311053984575835,66.0,148.0,17.38545031597247
Push,2024-03-04T15:04:14Z,4459.801149964333,431.9826668288284,0.0,113.61622072367902,0.15375722543352602,64.0,152.0,17.01887359626786
Pull,2024-06-17T21:49:58Z,3499.487179040909,307.25171078439,0.0,111.28720985702722,0.0827178729689808,60.0,143.0,13.848635447292324
Push,2024-02-25T14:58:09Z,4446.023530006409,442.7269999999924,0.0,112.22996781275542,0.16144018583042974,59.0,152.0,17.815367127700398
Push,2024-03-24T15:07:45Z,4609.401805996895,477.32369319961384,0.0,113.55037116363734,0.23687281213535588,60.0,168.0,21.316755069965943
